core_idx,g1,g2
-0.288371,0.074979,-0.034920,-0.132089
0.319054,-0.216447,-0.466573,-0.368678
0.171789,-0.160573,0.458058,-0.329927
-0.375469,-0.058313,0.252122,0.176119
-0.308275,-0.116879,0.478087,-0.110480
0.083339,-0.291300,-0.401776,0.090374
-0.160110,-0.025195,0.405407,-0.437195
0.318520,-0.309582,0.105371,0.294842
-0.422383,0.259547,0.183834,-0.387998
0.209506,0.137848,-0.186566,0.254941
0.026253,0.452954,-0.164447,0.035628
-0.005583,0.251726,0.227977,0.027976
0.413108,-0.134557,-0.077270,0.465171
0.450344,0.342623,-0.115404,-0.038990
0.054111,-0.322333,-0.439935,0.042317
0.488501,-0.473853,0.014029,0.125088
-0.195846,-0.263933,-0.068713,0.380687
0.030514,0.440392,0.246004,0.152769
-0.329357,0.346309,0.491124,-0.333295
0.064620,-0.015518,-0.406470,0.267269
-0.342911,0.459778,0.055286,-0.084574
-0.108379,-0.081629,0.191429,-0.471454
0.321234,0.222578,0.178923,0.143952
0.283304,-0.042480,0.432119,0.337045
-0.472009,0.311913,-0.300655,-0.100330
0.428399,0.094766,-0.445989,-0.061986
-0.352389,-0.283577,0.012654,-0.128600
-0.303695,-0.367221,0.083548,0.413356
-0.112374,0.458009,0.306509,-0.472163
0.493319,-0.186946,-0.493523,0.454708
-0.453198,0.363864,0.017300,-0.418838
0.018006,0.190405,-0.071204,0.312830
-0.256438,0.254513,-0.155883,-0.261910
-0.080877,0.321174,0.066160,0.317528
0.355876,-0.160186,0.238008,-0.287560
-0.090166,0.287303,0.393665,0.037558
-0.344039,-0.214559,-0.001988,0.294612
-0.050807,-0.221352,0.032003,0.214713
-0.040574,-0.062095,0.091207,0.431091
0.208452,-0.271108,-0.294811,-0.487331
0.261648,-0.347107,-0.068173,-0.148555
0.125551,0.453861,-0.106911,-0.399552
0.196139,0.305316,0.309854,-0.106518
-0.206870,-0.289690,-0.466143,0.437967
-0.048298,-0.467564,-0.314086,-0.183908
-0.458126,0.395523,0.358368,-0.481270
0.376236,-0.296692,0.473881,0.350826
0.374863,-0.490240,-0.378375,0.342702
0.366922,0.464317,0.437795,-0.434799
-0.332272,-0.178643,-0.356119,0.187546
-0.374400,0.370659,-0.197218,0.321879
0.427905,0.361335,0.245315,-0.197986
-0.347945,0.305011,0.412988,0.341348
-0.057566,-0.330210,0.321872,-0.334747
-0.154266,0.163646,-0.105331,-0.302411
-0.278711,-0.446051,0.454441,0.125241
-0.314032,-0.145370,-0.385040,-0.141139
-0.188187,0.164381,-0.292081,-0.245107
-0.409919,-0.056350,0.243271,-0.434878
-0.281110,-0.097949,0.076078,0.037994
-0.099262,0.051336,0.132452,0.179614
0.273216,0.392669,-0.443964,-0.225406
-0.482625,-0.482179,-0.179528,-0.273529
0.243000,0.260502,0.083861,0.025575
0.030794,0.469974,-0.497138,-0.021127
-0.163308,-0.470596,-0.348333,-0.134556
-0.473285,-0.012461,-0.243930,-0.165515
-0.332311,0.171697,-0.149491,0.486644
0.319166,-0.067245,0.162239,0.362093
0.185256,0.216469,-0.146186,-0.370803
0.322395,-0.423545,0.201689,0.416129
-0.146088,-0.454101,-0.059869,-0.390916
0.134895,-0.359015,0.110970,0.010128
-0.254434,0.048454,0.203018,0.106770
-0.358042,-0.070762,-0.236460,-0.088346
0.053144,-0.106265,0.122827,0.165778
-0.083926,-0.023212,0.117246,-0.318503
0.234226,0.054124,0.010989,-0.150189
-0.478035,0.358580,-0.259270,-0.364600
-0.177400,0.019846,-0.464916,0.196858
0.071285,0.407637,-0.216666,0.167489
-0.469673,0.082135,-0.412343,-0.318028
0.392255,-0.109363,-0.437007,0.328232
0.086848,0.205299,0.111401,-0.192254
-0.348707,0.381521,-0.472843,0.111193
0.118625,0.093323,0.357400,-0.265617
0.157214,-0.380867,-0.264892,0.203762
-0.038456,-0.359519,0.318175,0.352462
0.169119,0.432311,-0.346269,-0.101008
-0.483117,-0.124201,0.118785,0.164335
0.026082,0.317860,-0.468522,0.421505
0.356634,-0.496536,-0.018242,-0.106597
0.275194,0.329989,-0.110672,-0.048863
0.188985,0.058718,-0.362347,-0.128348
-0.045600,0.210184,-0.030213,-0.314099
-0.232282,0.159755,-0.355443,-0.096807
0.357159,0.057556,0.020854,0.336350
-0.016346,-0.488172,0.213763,0.344876
0.335742,0.412308,0.212332,0.103449
-0.462209,-0.382679,-0.418736,-0.043552
0.435720,-0.497040,0.045634,0.261855
-0.472555,0.049291,-0.430692,-0.044592
0.454612,-0.312330,-0.238789,-0.372426
0.186747,0.282433,-0.049826,-0.116789
-0.028290,-0.158229,0.304320,-0.406601
-0.382923,-0.450176,-0.236472,-0.296023
-0.280390,0.447067,0.387574,0.318673
-0.008428,-0.459268,0.314394,-0.215355
0.230980,-0.021996,0.128160,-0.450234
-0.352878,0.106172,-0.474179,-0.043576
-0.224948,0.292856,0.177503,0.418480
0.411548,0.090189,-0.173016,-0.350806
-0.388915,-0.271680,0.423408,0.062364
-0.247819,-0.244579,-0.405773,0.226032
0.461135,0.360999,0.265158,-0.169234
-0.488835,0.307055,0.334209,0.469468
-0.086940,-0.355174,-0.309019,0.234712
-0.380468,-0.455396,0.120085,-0.141057
-0.004658,-0.160989,-0.045426,-0.499902
-0.378631,-0.452962,0.130689,0.299919
0.216793,-0.049378,-0.008641,0.392335
0.378948,0.312095,-0.371854,-0.331066
-0.440372,0.234157,-0.135934,0.060424
0.311406,0.307143,0.274869,0.192504
0.187733,0.334372,0.287684,-0.225144
-0.487018,0.174338,0.477036,0.227435
0.176061,0.219275,-0.232714,-0.403062
0.051015,0.217100,0.330355,-0.481305
-0.494572,-0.406022,-0.456043,-0.102597
-0.411092,0.437679,-0.380608,0.288452
-0.200899,0.211542,0.498520,-0.306205
-0.328460,0.044473,-0.125669,-0.031954
-0.129700,0.285452,-0.175240,-0.293272
-0.410212,0.352863,0.155476,0.047990
0.280506,0.365220,-0.256405,0.404346
0.464489,-0.450672,0.197587,0.451532
0.365091,-0.101968,0.271018,0.077417
-0.179900,-0.401595,-0.049010,0.000514
0.288509,0.290597,0.141951,-0.413682
-0.417902,0.260707,-0.388082,-0.117625
-0.191877,0.388231,-0.323578,-0.380655
-0.290501,-0.173170,-0.020163,0.155016
0.313819,-0.137183,0.202950,0.353229
0.497140,0.120342,0.258721,0.217807
0.041524,0.350959,-0.083398,-0.238868
-0.425369,0.471172,-0.493299,0.179067
-0.420129,-0.057618,-0.194388,0.329215
0.090654,-0.227402,0.007818,0.470940
0.016955,0.043013,-0.333914,0.196120
-0.268457,0.092179,0.239478,-0.066761
-0.496033,0.282809,0.468637,-0.048109
-0.058967,0.072978,0.096379,0.345369
-0.016642,-0.344445,0.051435,-0.092795
0.461791,0.183670,0.472677,-0.463707
0.015451,0.360910,0.272327,-0.438101
0.146907,0.365706,-0.210708,0.441133
-0.088910,-0.209235,0.010856,0.284727
0.059936,-0.013699,-0.070104,-0.390820
-0.070712,-0.496868,-0.296071,-0.400281
-0.313918,-0.326951,-0.326051,-0.037774
0.344724,0.110803,-0.004664,0.491118
-0.439715,-0.243603,-0.201284,0.457019
0.464982,0.132897,0.359970,0.447273
0.062210,0.314789,0.343348,0.338073
-0.168092,-0.440561,0.238488,0.370838
-0.243297,0.188867,-0.020790,-0.012429
-0.429114,0.431599,-0.319309,-0.128605
-0.245018,-0.068091,0.252955,-0.222784
-0.275111,0.230501,0.161900,-0.303929
0.040961,-0.470636,-0.487807,0.294018
0.243556,-0.249052,0.242208,0.370595
-0.151352,0.135458,-0.371858,0.357567
0.321544,0.230605,0.460332,0.404940
-0.147919,0.235695,0.395625,-0.075432
-0.273744,0.087102,0.088416,-0.049684
-0.096473,-0.181724,0.398265,-0.159030
0.134832,-0.391556,0.387741,0.284961
-0.195336,0.419584,0.148700,0.232869
-0.299805,-0.282394,0.135105,0.226809
-0.467056,-0.088331,-0.259219,0.082102
0.166164,-0.191185,0.225290,-0.120689
0.315279,0.034543,0.314392,-0.138358
-0.397068,0.044061,-0.026808,0.462666
-0.056958,-0.013988,0.265270,0.152252
-0.230679,0.399787,-0.269793,0.464440
-0.376729,0.023897,-0.126442,-0.078575
-0.326541,-0.421463,-0.071050,-0.135388
0.235902,-0.477847,0.218670,-0.309152
-0.082643,0.191779,-0.086900,-0.132651
0.137965,-0.486345,0.262449,0.030238
0.305211,-0.339996,-0.392615,-0.285805
0.219124,0.445345,0.181721,-0.027707
0.180421,-0.390279,0.141425,-0.158111
-0.407967,0.136361,-0.383708,-0.245824
-0.006420,0.238669,-0.078651,-0.261139
-0.475075,0.413254,-0.276488,-0.469002
-0.071563,-0.485645,0.477175,0.161830
0.065029,-0.195804,0.269597,-0.263560
0.350528,0.351075,-0.340556,-0.028341
0.382370,-0.448526,0.146089,-0.406924
-0.213205,0.242333,0.440811,0.264974
-0.100692,-0.333632,-0.246534,-0.187882
0.048468,-0.297872,-0.157625,0.159200
-0.243526,-0.031594,0.056049,0.488063
0.121649,-0.394047,-0.293568,0.039690
0.022346,0.417082,-0.197331,-0.375567
0.130762,-0.147072,-0.254634,-0.179306
-0.416403,0.332968,0.323586,-0.058275
-0.421085,-0.247660,-0.468889,-0.251494
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
